State - Reg,State Abv,State Name,Reg Classification,Regulation Archived,Product Types regulated,Product Use Method,N-P-K Trigger,Claim Triggers,Package Size Trigger,Microbes Included,Tonnage Reporting Req?,Regulation,Frequency,Renewal Month,Initial Cost/Unit,Renewal Cost/Unit,TON Cost/Unit,Fee Unit,Min Ton Fee,Late Fee,State Contact (SC),SC Email Address,Office Mgr (Team lead),Office Mgr Email Address,Office Phone,Office Email,Check Payee,New Reg Method,New Registration Form or Portal,New Reg Sub Docs,New Reg Turnaround,Minimum Days Before Follow-up,New Reg Difficulty,Efficacy Requirements,In-state trials,Labs Required For Reg?,Test Frequency,Heavy Metals Test,Pathogen Analysis,Renewal Method,Renewal Sub Docs,Label Update Submission Method,Renewal Form or Portal,Tonnage Submission Method,Tonnage Form or Portal,Regulator Web Address,New Reg Trigger,Adjuvant Req,Discontinuance Period,Notes,Address Line 1,Address Line 2,Address Line 3,Mailing City,Mailing State,Mailing Zip,Delta Classification,Registration Tracking copy,Client Logins,Registration Tracking copy copy,Labeling Requirements,New Registration Notes,Client List,Tonnage Month,Renewal Season
OMRI-Nov - Organic Listing - USA,OMRI,OMRI,Nov - Organic Listing - USA,,Organic,N/A,,Organic production use,,,No,Registration,Annual,11,$960.00,$605.00,,,,,,,,,,,,Online Portal,,,,30,,,,,,,,Online Portal,,,,,,http://www.omri.org,,,,,,,,,,,,"981,985,986,987,989,990,991,992,993,994,995,996,997,998,999,1000,1001,1210,1945,2521,2963,2961,5853,6381,6882,6883,6884,6885,7015,8123,8235,8299,8363,8476,8500,8958,9076,9142,9208,10998,11016,13321,14084",,"981,985,986,987,989,990,991,992,993,994,995,996,997,998,999,1000,1001,1210,1945,2521,2961,2963,5853,6381,6882,6883,6884,6885,7015,8123,8235,8299,8363,8476,8500,8958,9076,9142,9208,10998,11016",,,,,End of Year
OMRI-Nov - Organic Repack - USA,OMRI,OMRI,Nov - Organic Repack - USA,,Organic,N/A,,Organic production use,,,No,Registration,Annual,11,$295.00,$185.00,,,,,,,,,,,,Online Portal,,,,30,,,,,,,,Online Portal,,,,,,http://www.omri.org,,,,,,,,,,,,"981,985,986,987,989,990,991,992,993,994,995,996,997,998,999,1000,1001,1210,1945,2521,2963,2961,5853,6381,6882,6883,6884,6885,7015,8123,8235,8299,8363,8476,8500,8958,9076,9142,9208,10998,11016,12867",,"981,985,986,987,989,990,991,992,993,994,995,996,997,998,999,1000,1001,1210,1945,2521,2961,2963,5853,6381,6882,6883,6884,6885,7015,8123,8235,8299,8363,8476,8500,8958,9076,9142,9208,10998,11016,12867,13321",,,,,End of Year
OR-Agricultural Amendment,OR,Oregon,Agricultural Amendment,,"Amendment/Conditioner,Surfactant/Wetting Agent,Biological Inoculant","Foliar,Seed,Soil",0,,,No,Yes,Registration,Annual,12,$35.00,$35.00,,$/Registration,,,Matt Haynes,Matthew.HAYNES@oda.oregon.gov,,,(503) 986-6471,fertilizer-inquiry@oda.oregon.gov,OR Dept of Ag,Paper/Mail,https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/APR.pdf,"Label,SDS,HMA,Efficacy",3 Months,30,Challenging,Sufficient to support label claims,Yes,HMA,1.5 years,"Arsenic (As),Cadmium (Cd),Lead (Pb),Mercury (Hg),Nickel (Ni)",,Online Portal,Updated labels,Email,https://mylicense.oda.state.or.us/ords/f?p=106:LOGIN_DESKTOP::::::,,,https://www.oregon.gov/oda/programs/Pesticides/Fertilizers/Pages/Fertilizers.aspx,"Name Change,Guarantee Change,Registrant Change",,,"There are several Registration types: Ag Mineral = < 5% NPK; Fertilizer = 5 or > NPK and Ag Amendment = 0 NPK or any other nutrients, but still promotes plant growth or changes in the soil",,Oregon Department of Agriculture,635 Capitol St. N.E.,Salem,OR,97301,Biostimulant,"70,81,103,223,255,286,295,542,557,577,601,625,888,966,1035,41,1283,1431,1685,1686,1687,1688,1689,1690,1691,1692,1693,1694,1990,2341,2342,2343,2344,2345,2346,2347,2348,2349,2350,2351,2568,2598,3675,3989,4578,5210,5265,5581,5739,6055,6107,6151,6177,6229,6281,6333,6385,7016,7068,7712,7602,7668,7271,7404,7338,7470,7536,7205,7800,8157,8236,8300,8364,8428,8429,8477,8896,9280,9915,10013,10060,10138,10217,10296,10606,10705,10827,10999,11071,11561,11639,11794,11872,11950,12028,12106,12184,12262,12340,12418,12496,12574,12652,12730,12868,12911,13227,13322,13960,13961,14044,14081","SAG-OR-ALL NON-PEST-Product Registration,ABM-OR-ALL NON-PEST-Product Registration,AQB-OR-ALL NON-PEST-Product Registration,GWB-OR-ALL NON-PEST-Product Registration,MAN-OR-ALL NON-PEST-Product Registration,SYM-OR-ALL NON-PEST-Product Registration,VER-OR-ALL NON-PEST-Product Registration,COR-OR-ALL NON-PEST-Product Registration,ARB-OR-ALL NON-PEST-Product Registration,BOR-OR-ALL NON-PEST-Product Registration,PLL-OR-ALL NON-PEST-ALL,EEA-OR-ALL NON-PEST-ALL,IBA-OR-ALL NON-PEST-Product Registration,OMY-OR-ALL NON-PEST-Product Registration","41,70,81,103,223,255,286,295,542,557,577,601,625,888,966,1035,1283,1431,1685,1686,1687,1688,1689,1690,1691,1692,1693,1694,1990,2341,2342,2343,2344,2345,2346,2347,2348,2349,2350,2351,2568,2598,3675,3989,4578,5210,5265,5581,5739,6055,6107,6151,6177,6229,6281,6333,6385,7016,7068,7205,7271,7338,7404,7470,7536,7602,7668,7712,7800,8157,8236,8300,8364,8428,8429,8477,8896,9280,9915,10013,10060,10138,10217,10296,10606,10705,10827,10999,11071,12868,12911,13322,11561,11639,11794,11950,11872,12028,13227,12106,12184,12262,12340,12418,12496,12574,12652,12730",https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/FertilizerProgramGuide.pdf,,,,End of Year
OR-Agricultural Mineral,OR,Oregon,Agricultural Mineral,,Fertilizer,N/A,> 0,,,No,Yes,Registration,Annual,12,$35.00,$35.00,,$/Registration,,,Matt Haynes,Matthew.HAYNES@oda.oregon.go,,,(503) 986-6471,fertilizer-inquiry@oda.oregon.gov,OR Dept of Ag,Paper/Mail,https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/MPR.pdf,"Label,SDS,HMA",3 Months,30,Challenging,,Yes,HMA,1.5 years,"Arsenic (As),Cadmium (Cd),Lead (Pb),Mercury (Hg),Nickel (Ni)",,Online Portal,Updated labels,Email,https://mylicense.oda.state.or.us/ords/f?p=106:LOGIN_DESKTOP::::::,,,https://www.oregon.gov/oda/programs/Pesticides/Fertilizers/Pages/Fertilizers.aspx,"Name Change,Guarantee Change,Registrant Change",,,"There are several Registration types: Ag Mineral = < 5% NPK; Fertilizer = 5 or > NPK and Ag Amendment = 0 NPK or any other nutrients, but still promotes plant growth or changes in the soil",,Oregon Department of Agriculture,635 Capitol St. N.E.,Salem,OR,97301,Fertilizer,"62,65,68,390,42,186,847,5378,5452,5521,6836,6837,6838,6839,389,7985,8653,8693,8766,9988,10318,10325,10542,10675,11165,11268,11371,11474,12796,12912,12913,12914,12916,12917,13142,13732","SAG-OR-ALL NON-PEST-Product Registration,ABM-OR-ALL NON-PEST-Product Registration,AQB-OR-ALL NON-PEST-Product Registration,GWB-OR-ALL NON-PEST-Product Registration,MAN-OR-ALL NON-PEST-Product Registration,SYM-OR-ALL NON-PEST-Product Registration,VER-OR-ALL NON-PEST-Product Registration,COR-OR-ALL NON-PEST-Product Registration,ARB-OR-ALL NON-PEST-Product Registration,BOR-OR-ALL NON-PEST-Product Registration,PLL-OR-ALL NON-PEST-ALL,EEA-OR-ALL NON-PEST-ALL,IBA-OR-ALL NON-PEST-Product Registration,OMY-OR-ALL NON-PEST-Product Registration","42,62,65,68,186,389,390,847,5378,5452,5521,6836,6837,6838,6839,7985,8653,8693,8766,9988,10318,10325,10542,10675,12796,12912,12913,12914,12916,12917,11165,11268,13142,11371,11474",https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/FertilizerProgramGuide.pdf,,,,End of Year
OR-Beneficial Substance,OR,Oregon,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR-Fertilizer,OR,Oregon,Fertilizer,,Fertilizer,N/A,> 0,,,No,Yes,Registration,Annual,12,$35.00,$35.00,,$/Registration,,,Matt Haynes,Matthew.HAYNES@oda.oregon.go,,,(503) 986-6471,fertilizer-inquiry@oda.oregon.gov,OR Dept of Ag,Paper/Mail,https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/FPR.pdf,"Label,SDS,HMA",3 Months,30,Challenging,,,HMA,1.5 years,"Arsenic (As),Cadmium (Cd),Lead (Pb),Mercury (Hg),Nickel (Ni)",,Online Portal,Updated labels,Email,https://mylicense.oda.state.or.us/ords/f?p=106:LOGIN_DESKTOP::::::,,,https://www.oregon.gov/oda/programs/Pesticides/Fertilizers/Pages/Fertilizers.aspx,"Name Change,Guarantee Change,Registrant Change",,,"There are several Registration types: Ag Mineral = < 5% NPK; Fertilizer = 5 or > NPK and Ag Amendment = 0 NPK or any other nutrients, but still promotes plant growth or changes in the soil",,Oregon Department of Agriculture,635 Capitol St. N.E.,Salem,OR,97301,Fertilizer,"801,802,803,804,3008,3073,3139,3202,3265,3328,3453,3516,3610,3738,3802,3866,3930,24,4052,4118,4182,4246,4323,4387,4458,4522,4641,4705,4769,4833,4898,4962,5026,5154,5840,5895,5922,5936,5950,5964,9062,9128,9194,9989,10905,11166,11269,11372,11475,12797,13143,13464,13493","SAG-OR-ALL NON-PEST-Product Registration,ABM-OR-ALL NON-PEST-Product Registration,AQB-OR-ALL NON-PEST-Product Registration,GWB-OR-ALL NON-PEST-Product Registration,MAN-OR-ALL NON-PEST-Product Registration,SYM-OR-ALL NON-PEST-Product Registration,VER-OR-ALL NON-PEST-Product Registration,COR-OR-ALL NON-PEST-Product Registration,ARB-OR-ALL NON-PEST-Product Registration,BOR-OR-ALL NON-PEST-Product Registration,PLL-OR-ALL NON-PEST-ALL,EEA-OR-ALL NON-PEST-ALL,IBA-OR-ALL NON-PEST-Product Registration,OMY-OR-ALL NON-PEST-Product Registration","24,801,802,803,804,3008,3073,3139,3202,3265,3328,3453,3516,3610,3738,3802,3866,3930,4052,4118,4182,4246,4323,4387,4458,4522,4641,4705,4769,4833,4898,4962,5026,5154,5840,5895,5922,5936,5950,5964,9062,9128,9194,9989,10905,12797,11166,11269,13143,11372,11475",https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/FertilizerProgramGuide.pdf,,,,End of Year
OR-Hydrophobic Fulvic Acids,OR,Oregon,Hydrophobic Fulvic Acids,,Amendment/Conditioner,N/A,,,,No,Yes,Registration,Annual,12,$35.00,$35.00,,$/Registration,,,Matt Haynes,Matthew.HAYNES@oda.oregon.gov,,,(503) 986-6471,fertilizer-inquiry@oda.oregon.gov,OR Dept of Ag,Paper/Mail,,"Label,SDS,HMA",,30,,,,HMA,1.5 years,"Arsenic (As),Cadmium (Cd),Lead (Pb),Mercury (Hg),Nickel (Ni)",,Online Portal,,Email,,,,https://www.oregon.gov/oda/programs/Pesticides/Fertilizers/Pages/Fertilizers.aspx,,,,,,,,,,,,"6059,6111,6155,6181,6207,6233,6259,6285,6311,6337,6405,7713,7576,7642,7245,7378,7312,7444,7510,7179,7801,9916,10061,10139,10218,10297,11072,11562,11640,11795,11873,11951,12029,12107,12185,12263,12341,12419,12497,12575,12653,12731,12869,13228,14017","SAG-OR-ALL NON-PEST-Product Registration,ABM-OR-ALL NON-PEST-Product Registration,AQB-OR-ALL NON-PEST-Product Registration,GWB-OR-ALL NON-PEST-Product Registration,MAN-OR-ALL NON-PEST-Product Registration,SYM-OR-ALL NON-PEST-Product Registration,VER-OR-ALL NON-PEST-Product Registration,COR-OR-ALL NON-PEST-Product Registration,ARB-OR-ALL NON-PEST-Product Registration,BOR-OR-ALL NON-PEST-Product Registration,PLL-OR-ALL NON-PEST-ALL,EEA-OR-ALL NON-PEST-ALL,IBA-OR-ALL NON-PEST-Product Registration,OMY-OR-ALL NON-PEST-Product Registration","6059,6111,6155,6181,6207,6233,6259,6285,6311,6337,6405,7179,7245,7312,7378,7444,7510,7576,7642,7713,7801,9916,10061,10139,10218,10297,11072,12869,11562,11640,11795,11951,11873,12029,13228,12107,12185,12263,12341,12419,12497,12575,12653,12731",https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/FertilizerProgramGuide.pdf,,,,End of Year
OR-Lime Product Registration ,OR,Oregon,Lime Product Registration ,,Liming Material,N/A,,,,No,Yes,Registration,Annual,12,$35.00,$35.00,,,,,Matt Haynes,Matthew.HAYNES@oda.oregon.go,,,(503) 986-6471,fertilizer-inquiry@oda.oregon.gov,OR Dept of Ag,Paper/Mail,https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/LPR.pdf,"Label,SDS",,30,,,,,,,,Online Portal,,,https://mylicense.oda.state.or.us/ords/f?p=106:LOGIN_DESKTOP::::::,,,https://www.oregon.gov/oda/programs/Pesticides/Fertilizers/Pages/Fertilizers.aspx,,,,,,,,,,,,"8924,12956,12957,12958,12959,12960,12961,12962,12963,12964,13359,13405,13406,13407,13408,13409,13410",,"8924,12956,12957,12958,12959,12960,12961,12962,12963,12964,13359,13405,13406,13407,13408,13409,13410",https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/FertilizerProgramGuide.pdf,,,,End of Year
OR-Microbe Fee,OR,Oregon,Microbe Fee,,Biological Inoculant,"Foliar,Seed,Soil",0,,,Yes,No,Registration,Annual,12,$35.00,$35.00,,$/Registration,,,Matt Haynes,Matthew.HAYNES@oda.oregon.gov,,,(503) 986-6471,fertilizer-inquiry@oda.oregon.gov,OR Dept of Ag,Paper/Mail,,Efficacy,3 Months,30,Moderate,Efficacy is often required for products containing microbes.,No,,,,,Online Portal,,Email,,,,https://www.oregon.gov/oda/programs/Pesticides/Fertilizers/Pages/Fertilizers.aspx,,,,"Combined with Ag Amendment, Ag Mineral, or Fertilizer application",,,,,,,Biostimulant,"1107,1108,1109,1110,1112,1113,1114,1115,1116,1117,1118,1119,1284,1432,1991,2352,2474,2475,2476,4264,4265,4266,4267,4268,4269,4270,4271,4272,4273,6060,6112,6156,6182,6234,6286,6338,6406,7017,7069,7714,7577,7643,7246,7379,7313,7445,7511,7180,7802,7922,8158,8237,8301,8365,8430,8431,8478,9281,9917,10014,10062,10140,10219,10298,11000,11073,11563,11641,11796,11874,11952,12030,12108,12186,12264,12342,12420,12498,12576,12654,12732,12870,13229,13323,13962,13963,14056,14089","SAG-OR-ALL NON-PEST-Product Registration,ABM-OR-ALL NON-PEST-Product Registration,AQB-OR-ALL NON-PEST-Product Registration,GWB-OR-ALL NON-PEST-Product Registration,MAN-OR-ALL NON-PEST-Product Registration,SYM-OR-ALL NON-PEST-Product Registration,VER-OR-ALL NON-PEST-Product Registration,COR-OR-ALL NON-PEST-Product Registration,ARB-OR-ALL NON-PEST-Product Registration,BOR-OR-ALL NON-PEST-Product Registration,PLL-OR-ALL NON-PEST-ALL,EEA-OR-ALL NON-PEST-ALL,IBA-OR-ALL NON-PEST-Product Registration,OMY-OR-ALL NON-PEST-Product Registration","1107,1108,1109,1110,1112,1113,1114,1115,1116,1117,1118,1119,1284,1432,1991,2352,2474,2475,2476,4264,4265,4266,4267,4268,4269,4270,4271,4272,4273,6060,6112,6156,6182,6234,6286,6338,6406,7017,7069,7180,7246,7313,7379,7445,7511,7577,7643,7714,7802,7922,8158,8237,8301,8365,8430,8431,8478,9281,9917,10014,10062,10140,10219,10298,11000,11073,12870,13323,11563,11641,11796,11952,11874,12030,13229,12108,12186,12264,12342,12420,12498,12576,12654,12732",https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/FertilizerProgramGuide.pdf,,,,End of Year
OR-Seed Treatment Label,OR,Oregon,Seed Treatment Label,,"Amendment/Conditioner,Surfactant/Wetting Agent,Biological Inoculant",Seed,0,,,No,Yes,Guidance,,12,$35.00,$35.00,,,,,Matt Haynes,Matthew.HAYNES@oda.oregon.go,,,(503) 986-6471,fertilizer-inquiry@oda.oregon.gov,OR Dept of Ag,,,,,30,,,,None,,,,Online Portal,Updated labels,Email,,,,https://www.oregon.gov/oda/programs/Pesticides/Fertilizers/Pages/Fertilizers.aspx,"Name Change,Guarantee Change,Registrant Change",,,"There are several Registration types: Ag Mineral = < 5% NPK; Fertilizer = 5 or > NPK and Ag Amendment = 0 NPK or any other nutrients, but still promotes plant growth or changes in the soil",,,,,,,Biostimulant,"6058,6110,6154,6180,6206,6232,6258,6284,6310,6336,6407,7715,7578,7644,7247,7380,7314,7446,7512,7181,7803,11074,12871,14022","SAG-OR-ALL NON-PEST-Product Registration,ABM-OR-ALL NON-PEST-Product Registration,AQB-OR-ALL NON-PEST-Product Registration,GWB-OR-ALL NON-PEST-Product Registration,MAN-OR-ALL NON-PEST-Product Registration,SYM-OR-ALL NON-PEST-Product Registration,VER-OR-ALL NON-PEST-Product Registration,COR-OR-ALL NON-PEST-Product Registration,ARB-OR-ALL NON-PEST-Product Registration,BOR-OR-ALL NON-PEST-Product Registration,PLL-OR-ALL NON-PEST-ALL,EEA-OR-ALL NON-PEST-ALL,IBA-OR-ALL NON-PEST-Product Registration,OMY-OR-ALL NON-PEST-Product Registration","6058,6110,6154,6180,6206,6232,6258,6284,6310,6336,6407,7181,7247,7314,7380,7446,7512,7578,7644,7715,7803,11074,12871",https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/FertilizerProgramGuide.pdf,,,,End of Year
OR-Semi-Annual Tonnage Reports,OR,Oregon,Semi-Annual Tonnage Reports,,"Fertilizer,Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent,Liming Material",N/A,,,,No,Yes,Tonnage/Mill,Semi-Annual,,,,$0.3500,$/Ton Sold,$15.00,$25.00,Matt Haynes,Matthew.HAYNES@oda.oregon.go,,,(503) 986-6471,fertilizer-inquiry@oda.oregon.gov,OR Dept of Ag,Paper/Mail,,,,,,,,,,,,,,,,Paper/Mail,,https://www.oregon.gov/oda/programs/Pesticides/Fertilizers/Pages/Fertilizers.aspx,,,,Tonnage fees below $5 do not need to be paid,,,,,,,Tonnage,"675,693,720,1079,1201,1285,1433,2353,2499,5674,5888,6702,6953,8934,10919,12918,14119",,"675,693,720,1079,1201,1285,1433,2353,2499,5674,5888,6702,6953,8934,10919,12918",https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/FertilizerProgramGuide.pdf,,,"01,07",
OR-Waste-derived,OR,Oregon,Waste-derived,,"Fertilizer,Amendment/Conditioner,Biological Inoculant",N/A,,,,No,Yes,Registration,Annual,12,$50.00,$50.00,,$/Registration,,,Matt Haynes,Matthew.HAYNES@oda.oregon.gov,,,(503) 986-6471,fertilizer-inquiry@oda.oregon.gov,OR Dept of Ag,Paper/Mail,,"Label,SDS,HMA,FecalColiSal",,30,,,,HMA,1.5 years,"Arsenic (As),Cadmium (Cd),Lead (Pb),Mercury (Hg),Nickel (Ni)",,Online Portal,,Email,,,,https://www.oregon.gov/oda/programs/Pesticides/Fertilizers/Pages/Fertilizers.aspx,,,,,,,,,,,,"6057,6109,6153,6179,6205,6231,6257,6283,6309,6335,6408,7716,7579,7645,7248,7381,7315,7447,7513,7182,7804,9918,9990,10063,10141,10220,10299,11075,11167,11270,11373,11476,11564,11642,11797,11875,11953,12031,12109,12187,12265,12343,12421,12499,12577,12655,12733,12798,12872,13144,13230,14032","SAG-OR-ALL NON-PEST-Product Registration,ABM-OR-ALL NON-PEST-Product Registration,AQB-OR-ALL NON-PEST-Product Registration,GWB-OR-ALL NON-PEST-Product Registration,MAN-OR-ALL NON-PEST-Product Registration,SYM-OR-ALL NON-PEST-Product Registration,VER-OR-ALL NON-PEST-Product Registration,COR-OR-ALL NON-PEST-Product Registration,ARB-OR-ALL NON-PEST-Product Registration,BOR-OR-ALL NON-PEST-Product Registration,PLL-OR-ALL NON-PEST-ALL,EEA-OR-ALL NON-PEST-ALL,IBA-OR-ALL NON-PEST-Product Registration,OMY-OR-ALL NON-PEST-Product Registration","6057,6109,6153,6179,6205,6231,6257,6283,6309,6335,6408,7182,7248,7315,7381,7447,7513,7579,7645,7716,7804,9918,9990,10063,10141,10220,10299,11075,12798,12872,11564,11642,11797,11953,11875,12031,13230,12109,12187,12265,12343,12421,12499,12577,12655,11167,11270,13144,11373,12733,11476",https://www.oregon.gov/oda/shared/Documents/Publications/PesticidesPARC/FertilizerProgramGuide.pdf,,,,End of Year
PA-Ag Lime License,PA,Pennslyvania,Ag Lime License,,Liming Material,N/A,,,,No,Yes,License,Annual,06,$25.00,$25.00,,,,,,,,,,,,Online Portal,https://www.pa.gov/en/agencies/pda/plants-land-water/plant-industry/agronomic-products/liming-material.html,,,30,,,,,,,,Online Portal,,,https://www.pa.gov/en/agencies/pda/plants-land-water/plant-industry/agronomic-products/liming-material.html,,,https://www.pa.gov/en/agencies/pda/plants-land-water/plant-industry/agronomic-products/liming-material.html,,,,,,,,,,,,13273,,13273,https://www.pa.gov/en/agencies/pda/plants-land-water/plant-industry/agronomic-products/liming-material.html,,,,Mid Year
PA-Ag Lime Product,PA,Pennslyvania,Ag Lime Product,,Liming Material,N/A,,,,No,Yes,Registration,Annual,06,,,,,,,,,,,,,,,https://www.pa.gov/en/agencies/pda/plants-land-water/plant-industry/agronomic-products/liming-material.html,,,30,,,,,,,,,,,https://www.pa.gov/en/agencies/pda/plants-land-water/plant-industry/agronomic-products/liming-material.html,,,https://www.pa.gov/en/agencies/pda/plants-land-water/plant-industry/agronomic-products/liming-material.html,,,,,,,,,,,,13363,,,https://www.pa.gov/en/agencies/pda/plants-land-water/plant-industry/agronomic-products/liming-material.html,,,,Mid Year
PA-Ag Lime Tonnage,PA,Pennslyvania,Ag Lime Tonnage,,Liming Material,N/A,,,,No,Yes,Tonnage/Mill,Semi-Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online Portal,https://www.pa.gov/en/agencies/pda/plants-land-water/plant-industry/agronomic-products/liming-material.html,https://www.pa.gov/en/agencies/pda/plants-land-water/plant-industry/agronomic-products/liming-material.html,,,,,,,,,,,Tonnage,13350,,,,,,"01,07",
PA-Beneficial Substance,PA,Pennslyvania,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-Fert Inspection fees > 15 lbs,PA,Pennslyvania,Fert Inspection fees > 15 lbs,,Fertilizer,N/A,,,> 15 lbs,,Yes,Tonnage/Mill,Semi-Annual,,,,$0.1500,$/Ton Sold,,,David Dressler,davdressle@pa.gov,,,(717) 787-4737,davdressle@pa.gov,,,,,,,,,,,,,,,,,,Online Portal,https://www.pa.gov/en/agencies/pda/plants-land-water/fertilizer.html,https://www.pa.gov/en/agencies/pda/plants-land-water/fertilizer.html,,,,,,,,,,,Tonnage,"694,721,663,1175,5320,6703,6954,8810,8935,10869,12919","VER-PA-ALL NON-PEST-ALL,NLS-PA-ALL NON-PEST-ALL,MAN-PA-ALL NON-PEST-ALL,SYM-PA-ALL NON-PEST-ALL,ABM-PA-ALL NON-PEST-ALL,GWB-PA-ALL NON-PEST-ALL,COR-PA-ALL NON-PEST-ALL,SYM-PA-ALL NON-PEST-ALL,AGR-PA-ALL NON-PEST-ALL,EEA-PA-ALL NON-PEST-ALL,BOR-PA-ALL NON-PEST-ALL,BIN-PA-ALL NON-PEST-ALL,ARB-PA-ALL NON-PEST-ALL,OMY-PA-ALL NON-PEST-ALL","663,694,721,1175,5320,6703,6954,8810,8935,10869,12919,13350",,,,"01,07",
PA-Fert Inspection fees ≤ 15 lbs,PA,Pennslyvania,Fert Inspection fees ≤ 15 lbs,,Fertilizer,N/A,,,≤ 15 lbs,,Yes,Tonnage/Mill,Annual,,,,,$/Ton Sold,$25.00,$25.00,David Dressler,davdressle@pa.gov,,,(717) 787-4737,davdressle@pa.gov,,,,,,,,,,,,,,,,,,Online Portal,https://www.pa.gov/en/agencies/pda/plants-land-water/fertilizer.html,https://www.pa.gov/en/agencies/pda/plants-land-water/fertilizer.html,,,,,,,,,,,Tonnage,"676,1176,5319,6704,6955,8936,10872,10874,10877,12920","VER-PA-ALL NON-PEST-ALL,NLS-PA-ALL NON-PEST-ALL,MAN-PA-ALL NON-PEST-ALL,SYM-PA-ALL NON-PEST-ALL,ABM-PA-ALL NON-PEST-ALL,GWB-PA-ALL NON-PEST-ALL,COR-PA-ALL NON-PEST-ALL,SYM-PA-ALL NON-PEST-ALL,AGR-PA-ALL NON-PEST-ALL,EEA-PA-ALL NON-PEST-ALL,BOR-PA-ALL NON-PEST-ALL,BIN-PA-ALL NON-PEST-ALL,ARB-PA-ALL NON-PEST-ALL,OMY-PA-ALL NON-PEST-ALL","676,1176,5319,6704,6955,8936,10872,10874,10877,12920",,,,01,
PA-Fert/SA Dual Brand,PA,Pennslyvania,Fert/SA Dual Brand,,"Fertilizer,Amendment/Conditioner,Biological Inoculant",N/A,> 0,,,Yes,Yes,Registration,Annual,06,$50.00,$50.00,,$/Registration,,,David Dressler,davdressle@pa.gov,,,(717) 787-4737,davdressle@pa.gov,,Online Portal,https://www.pa.gov/en/agencies/pda/plants-land-water/fertilizer.html,Label,3 Months,30,Easy,,,,,,,Online Portal,Updated labels,Online Portal,https://www.pa.gov/en/agencies/pda/plants-land-water/fertilizer.html,,,https://www.pa.gov/en/agencies/pda/plants-land-water/fertilizer.html,"Name Change,Guarantee Change,Registrant Change",,,,PA Dept of Ag / Plant Industry,Div. Agrinomic and Reg Svcs,2301 North Cameron Street,Harrisburg,PA,17110,Fertilizer,"5379,9919,9991,10064,10142,10221,10300,10543,10676,11168,11271,11374,11477,11565,11643,11798,11876,11954,12032,12110,12188,12266,12344,12422,12500,12578,12656,12734,12799,13145,13231","VER-PA-ALL NON-PEST-ALL,NLS-PA-ALL NON-PEST-ALL,MAN-PA-ALL NON-PEST-ALL,SYM-PA-ALL NON-PEST-ALL,ABM-PA-ALL NON-PEST-ALL,GWB-PA-ALL NON-PEST-ALL,COR-PA-ALL NON-PEST-ALL,SYM-PA-ALL NON-PEST-ALL,AGR-PA-ALL NON-PEST-ALL,EEA-PA-ALL NON-PEST-ALL,BOR-PA-ALL NON-PEST-ALL,BIN-PA-ALL NON-PEST-ALL,ARB-PA-ALL NON-PEST-ALL,OMY-PA-ALL NON-PEST-ALL","5379,9919,9991,10064,10142,10221,10300,10543,10676,12799,11565,11643,11798,11954,11876,12032,13231,12110,12188,12266,12344,12422,12500,12578,12656,11168,11271,13145,11374,12734,11477,13533",https://www.pa.gov/en/agencies/pda/plants-land-water/fertilizer/manufacturers-and-guarantors.html,,,,Mid Year
